event_id,state,income_group,total_articles,indic_articles,en_articles,indic_share,coverage_days,t_first_days,S_sov,S_TTFR,S_CD,MSS,MSS_entropy
E141,Uttar Pradesh,Low,3005,920,2034,0.30615640599001664,24,0,0.0764,1.0,0.125,0.2708,0.1083
E142,Uttar Pradesh,Low,1730,461,1198,0.26647398843930636,20,0,0.044,1.0,0.1033,0.2471,0.0799
E143,Uttar Pradesh,Low,24116,6689,16429,0.2773677226737436,77,0,0.6134,1.0,0.413,0.6506,0.5555
E144,Uttar Pradesh,Low,16660,4591,11446,0.2755702280912365,78,0,0.4237,1.0,0.4185,0.5379,0.4321
E145,Uttar Pradesh,Low,3255,983,2074,0.3019969278033794,20,0,0.0827,1.0,0.1033,0.2703,0.1054
E146,Uttar Pradesh,Low,11678,4252,6885,0.36410344237026887,90,0,0.297,1.0,0.4837,0.4749,0.3695
E147,Uttar Pradesh,Low,11080,3166,7169,0.2857400722021661,96,0,0.2818,1.0,0.5163,0.4723,0.37
E148,Uttar Pradesh,Low,11906,3581,7907,0.30077271963715774,116,0,0.3028,1.0,0.625,0.5067,0.419
E149,Uttar Pradesh,Low,3475,1359,1810,0.3910791366906475,47,0,0.0883,1.0,0.25,0.303,0.1564
E15,Andhra Pradesh,Middle,2363,618,1703,0.26153195090986037,43,0,0.0601,1.0,0.2283,0.2817,0.1308
E150,Uttar Pradesh,Low,1931,732,1128,0.37907819782496116,24,0,0.0491,1.0,0.125,0.2545,0.0903
E151,Uttar Pradesh,Low,4515,2166,2247,0.479734219269103,24,0,0.1148,1.0,0.125,0.2939,0.1336
E152,Uttarakhand,Low,1098,488,607,0.4444444444444444,24,0,0.0279,1.0,0.125,0.2417,0.0763
E153,Uttarakhand,Low,233,59,174,0.2532188841201717,20,0,0.0059,1.0,0.1033,0.2242,0.0547
E154,Uttarakhand,Low,845,186,654,0.22011834319526627,24,0,0.0214,1.0,0.125,0.2378,0.072
E155,Uttarakhand,Low,2580,970,1599,0.375968992248062,96,0,0.0656,1.0,0.5163,0.3426,0.2274
E156,Uttarakhand,Low,3801,1524,2160,0.40094711917916337,158,0,0.0966,1.0,0.8533,0.4286,0.3565
E157,Uttarakhand,Low,911,308,580,0.3380900109769484,39,0,0.0231,1.0,0.2065,0.2552,0.0994
E158,Uttarakhand,Low,6896,2722,4165,0.3947215777262181,92,0,0.1754,1.0,0.4946,0.4042,0.2928
E159,Uttarakhand,Low,327,178,147,0.5443425076452599,20,0,0.0083,1.0,0.1033,0.2256,0.0563
E16,Andhra Pradesh,Middle,2968,1046,1868,0.3524258760107817,57,0,0.0754,1.0,0.3043,0.3061,0.1654
E160,Uttarakhand,Low,694,365,329,0.5259365994236311,20,12,0.0176,0.0273,0.1033,0.0367,0.0454
E161,Uttarakhand,Low,811,360,450,0.4438964241676942,20,0,0.0206,1.0,0.1033,0.233,0.0644
E162,West Bengal,Middle,2045,418,1500,0.20440097799511003,25,0,0.052,1.0,0.1304,0.2573,0.0939
E163,West Bengal,Middle,9104,2440,6059,0.2680140597539543,108,0,0.2315,1.0,0.5815,0.4552,0.3579
E164,West Bengal,Middle,2080,637,1253,0.30625,36,0,0.0529,1.0,0.1902,0.2698,0.1138
E165,West Bengal,Middle,5704,1603,3768,0.2810308555399719,96,0,0.145,1.0,0.5163,0.3903,0.2798
E166,West Bengal,Middle,4901,1296,3389,0.2644358294225668,94,0,0.1246,1.0,0.5054,0.3758,0.2628
E167,West Bengal,Middle,5121,1628,3160,0.31790665885569225,139,0,0.1302,1.0,0.75,0.4281,0.3454
E168,West Bengal,Middle,2070,533,1352,0.257487922705314,22,0,0.0526,1.0,0.1141,0.2544,0.089
E17,Andhra Pradesh,Middle,2226,825,1390,0.3706199460916442,24,0,0.0566,1.0,0.125,0.259,0.0952
E18,Arunachal Pradesh,Low,33,3,23,0.09090909090909091,13,0,0.0008,1.0,0.0652,0.2135,0.0391
E19,Arunachal Pradesh,Low,435,0,426,0.0,19,0,0.011,1.0,0.0978,0.2262,0.0563
E20,Arunachal Pradesh,Low,172,1,139,0.005813953488372093,16,0,0.0043,1.0,0.0815,0.2189,0.0467
E21,Arunachal Pradesh,Low,186,7,175,0.03763440860215054,61,0,0.0047,1.0,0.3261,0.268,0.1258
E22,Arunachal Pradesh,Low,155,10,144,0.06451612903225806,14,0,0.0039,1.0,0.0707,0.2165,0.0429
E23,Assam,Low,1367,215,1110,0.1572787125091441,35,0,0.0347,1.0,0.1848,0.2578,0.1
E24,Assam,Low,1071,114,943,0.10644257703081232,21,0,0.0272,1.0,0.1087,0.2381,0.0705
E25,Assam,Low,5822,576,5148,0.09893507385778083,53,0,0.148,1.0,0.2826,0.3453,0.2064
E26,Assam,Low,3739,568,3082,0.15191227600962826,68,0,0.0951,1.0,0.3641,0.3299,0.1977
E27,Assam,Low,2444,255,2128,0.10433715220949263,77,0,0.0621,1.0,0.413,0.3199,0.1917
E28,Assam,Low,120,20,97,0.16666666666666666,18,0,0.003,1.0,0.0924,0.2203,0.0493
E29,Assam,Low,4831,744,3987,0.15400538190850754,177,0,0.1228,1.0,0.9565,0.465,0.4071
