method,S_sov,S_TTFR,S_CD,CR
AHP,0.6,0.2,0.2,0.0
Entropy,0.6598952728518108,0.017528129108665972,0.3225765980395232,
Equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,
