event_id,state,income_group,total_articles,indic_articles,en_articles,indic_share,coverage_days,t_first_days,S_vol,S_sov,S_TTFR,S_CD,MSS
E161,Uttarakhand,Low,811,360,450,0.4438964241676942,20,0,0.5908,0.0206,1.0,0.1033,0.4041
E162,West Bengal,Middle,2045,418,1500,0.20440097799511003,25,0,0.6882,0.052,1.0,0.1304,0.4481
E163,West Bengal,Middle,9104,2440,6059,0.2680140597539543,108,0,0.8457,0.2315,1.0,0.5815,0.6395
E164,West Bengal,Middle,2080,637,1253,0.30625,36,0,0.69,0.0529,1.0,0.1902,0.4609
E165,West Bengal,Middle,5704,1603,3768,0.2810308555399719,96,0,0.7964,0.145,1.0,0.5163,0.5857
E166,West Bengal,Middle,4901,1296,3389,0.2644358294225668,94,0,0.7804,0.1246,1.0,0.5054,0.5726
E167,West Bengal,Middle,5121,1628,3160,0.31790665885569225,139,0,0.785,0.1302,1.0,0.75,0.6246
E168,West Bengal,Middle,2070,533,1352,0.257487922705314,22,0,0.6895,0.0526,1.0,0.1141,0.4454
E17,Andhra Pradesh,Middle,2226,825,1390,0.3706199460916442,24,0,0.6972,0.0566,1.0,0.125,0.4511
E18,Arunachal Pradesh,Low,33,3,23,0.09090909090909091,13,0,0.2561,0.0008,1.0,0.0652,0.2901
E19,Arunachal Pradesh,Low,435,0,426,0.0,19,0,0.5252,0.011,1.0,0.0978,0.3804
E20,Arunachal Pradesh,Low,172,1,139,0.005813953488372093,16,0,0.4277,0.0043,1.0,0.0815,0.3459
E21,Arunachal Pradesh,Low,186,7,175,0.03763440860215054,61,0,0.4359,0.0047,1.0,0.3261,0.3974
E22,Arunachal Pradesh,Low,155,10,144,0.06451612903225806,14,0,0.4168,0.0039,1.0,0.0707,0.3404
E23,Assam,Low,1367,215,1110,0.1572787125091441,35,0,0.6458,0.0347,1.0,0.1848,0.4411
E24,Assam,Low,1071,114,943,0.10644257703081232,21,0,0.6201,0.0272,1.0,0.1087,0.4159
E25,Assam,Low,5822,576,5148,0.09893507385778083,53,0,0.7986,0.148,1.0,0.2826,0.5405
E26,Assam,Low,3739,568,3082,0.15191227600962826,68,0,0.7519,0.0951,1.0,0.3641,0.5269
E27,Assam,Low,2444,255,2128,0.10433715220949263,77,0,0.707,0.0621,1.0,0.413,0.5133
E28,Assam,Low,120,20,97,0.16666666666666666,18,0,0.39,0.003,1.0,0.0924,0.3364
E29,Assam,Low,4831,744,3987,0.15400538190850754,177,0,0.7789,0.1228,1.0,0.9565,0.6618
E30,Assam,Low,2578,432,2101,0.16757176105508145,103,0,0.7127,0.0655,1.0,0.5543,0.5443
E31,Assam,Low,3690,642,3030,0.17398373983739837,93,0,0.7505,0.0938,1.0,0.5,0.5533
E32,Assam,Low,1044,233,809,0.2231800766283525,18,0,0.6174,0.0265,1.0,0.0924,0.4116
E33,Bihar,Low,16055,5359,9866,0.33379009654313296,77,0,0.9055,0.4083,1.0,0.413,0.6767
E34,Bihar,Low,7901,2519,4881,0.31882040248069865,94,0,0.8308,0.2009,1.0,0.5054,0.6106
E35,Bihar,Low,2089,987,1017,0.47247486835806607,47,0,0.6905,0.0531,1.0,0.25,0.4731
E36,Bihar,Low,5796,2826,2656,0.48757763975155277,185,0,0.7981,0.1474,1.0,1.0,0.6837
E37,Bihar,Low,6031,2652,3122,0.4397280716299121,92,0,0.8023,0.1534,1.0,0.4946,0.5856
E38,Bihar,Low,1407,721,552,0.5124378109452736,22,0,0.6488,0.0357,1.0,0.1141,0.4282
E39,Chhattisgarh,Low,2464,883,1569,0.35836038961038963,94,0,0.7079,0.0626,1.0,0.5054,0.5322
E40,Chhattisgarh,Low,756,419,336,0.5542328042328042,46,0,0.5834,0.0192,1.0,0.2446,0.4297
E41,Chhattisgarh,Low,4896,1909,2976,0.38991013071895425,92,0,0.7803,0.1245,1.0,0.4946,0.5704
E42,Delhi,High,33940,8718,22641,0.2568650559811432,92,0,0.9845,0.8632,1.0,0.4946,0.8532
E43,Goa,High,828,36,321,0.043478260869565216,20,0,0.5929,0.021,1.0,0.1033,0.4048
E44,Goa,High,1315,89,859,0.06768060836501902,20,0,0.6417,0.0334,1.0,0.1033,0.4232
E45,Goa,High,2234,161,1121,0.0720680393912265,47,0,0.6976,0.0568,1.0,0.25,0.4763
E46,Goa,High,2405,224,819,0.09313929313929314,138,0,0.7053,0.0611,1.0,0.7446,0.5788
E47,Gujarat,High,2153,784,1231,0.36414305620065024,20,0,0.6937,0.0547,1.0,0.1033,0.4452
E48,Gujarat,High,8983,2959,5256,0.32939997773572305,105,0,0.8443,0.2284,1.0,0.5652,0.6349
E49,Gujarat,High,2206,851,1232,0.385766092475068,29,0,0.6962,0.0561,1.0,0.1522,0.4561
E50,Gujarat,High,4680,1792,2589,0.38290598290598293,94,0,0.7755,0.119,1.0,0.5054,0.5694
E51,Gujarat,High,1362,633,577,0.4647577092511013,47,0,0.6454,0.0346,1.0,0.25,0.454
E52,Gujarat,High,979,570,343,0.5822267620020429,20,0,0.6106,0.0249,1.0,0.1033,0.4113
E53,Gujarat,High,7654,2960,4228,0.3867258949568853,185,0,0.8274,0.1946,1.0,1.0,0.7066
E54,Gujarat,High,7803,2631,4830,0.33717800845828527,92,0,0.8294,0.1984,1.0,0.4946,0.6073
E55,Gujarat,High,2588,1225,1257,0.47333848531684697,19,0,0.7131,0.0658,1.0,0.0978,0.4532
E56,Haryana,High,1093,276,790,0.252516010978957,24,0,0.6222,0.0278,1.0,0.125,0.42
E57,Haryana,High,746,277,442,0.37131367292225204,19,0,0.582,0.0189,1.0,0.0978,0.3998
E58,Haryana,High,6126,2370,3706,0.3868756121449559,34,0,0.8039,0.1558,1.0,0.1793,0.5238
E59,Himachal Pradesh,Low,1247,282,946,0.22614274258219727,24,0,0.6361,0.0317,1.0,0.125,0.4253
E60,Himachal Pradesh,Low,1815,217,1371,0.11955922865013774,24,0,0.6757,0.0461,1.0,0.125,0.4415
E61,Himachal Pradesh,Low,1187,476,684,0.401010951979781,31,0,0.6309,0.0302,1.0,0.163,0.4309
E62,Himachal Pradesh,Low,3765,1092,2583,0.2900398406374502,96,0,0.7526,0.0957,1.0,0.5163,0.5578
E63,Himachal Pradesh,Low,2771,960,1724,0.3464453265968964,136,0,0.7203,0.0704,1.0,0.7337,0.584
E64,Himachal Pradesh,Low,3988,1704,2200,0.4272818455366098,185,0,0.7587,0.1014,1.0,1.0,0.658
E65,Himachal Pradesh,Low,2726,1281,1439,0.4699192956713133,41,0,0.7185,0.0693,1.0,0.2174,0.4798
E66,Himachal Pradesh,Low,1631,611,1011,0.3746167995095034,20,12,0.6644,0.0414,0.0273,0.1033,0.2379
E67,Jammu and Kashmir,Low,5223,549,4581,0.10511200459506032,29,0,0.7871,0.1328,1.0,0.1522,0.5064
E68,Jammu and Kashmir,Low,5095,856,4031,0.16800785083415112,19,0,0.7845,0.1295,1.0,0.0978,0.4938
E69,Jharkhand,Low,536,419,115,0.7817164179104478,20,0,0.5471,0.0136,1.0,0.1033,0.3889
E70,Jharkhand,Low,951,385,559,0.4048370136698212,125,0,0.6075,0.0242,1.0,0.6739,0.5243
E71,Jharkhand,Low,399,188,209,0.47117794486215536,38,0,0.5161,0.0101,1.0,0.2011,0.3981
E72,Karnataka,High,18118,5005,12563,0.27624461861132577,96,0,0.9183,0.4608,1.0,0.5163,0.717
E73,Karnataka,High,8391,1671,6517,0.1991419377904898,94,0,0.8371,0.2134,1.0,0.5054,0.6162
E74,Karnataka,High,1805,388,1362,0.2149584487534626,43,0,0.6751,0.0459,1.0,0.2283,0.462
E75,Karnataka,High,8178,2059,5838,0.25177304964539005,139,0,0.8344,0.208,1.0,0.75,0.6627
E76,Karnataka,High,12418,3308,8865,0.26638750201320666,92,0,0.8784,0.3158,1.0,0.4946,0.6572
E77,Kerala,Middle,12776,3454,8637,0.2703506574827802,119,0,0.8814,0.3249,1.0,0.6413,0.6902
E78,Kerala,Middle,8045,1701,5780,0.21143567433188315,94,0,0.8327,0.2046,1.0,0.5054,0.6123
E79,Kerala,Middle,1885,801,1061,0.4249336870026525,47,0,0.6796,0.0479,1.0,0.25,0.4682
