event_id,state,district,canonical_state,start_date,bbox_area_km2,state_area_km2,district_km2,raw_flood_area_km2,adjusted_flood_area_km2,flood_ratio,combined_source,region_total_population,population_exposed,exposure_rate,warnings
E150,Uttar Pradesh,Sitapur,Uttar Pradesh,2022-09-18,,240928,2544.2,516.1,516.1,0.2029,SITS,241265000,516822.0,0.2029,
E151,Uttar Pradesh,Sitapur,Uttar Pradesh,2024-07-09,,240928,2544.2,231.42,231.42,0.091,SITS,241265000,231744.0,0.091,
E152,Uttarakhand,Chamoli,Uttarakhand,2015-07-07,,53483,7838.3,46.58,46.58,0.0059,S1(cloud),11913000,10375.0,0.0059,
E153,Uttarakhand,Chamoli,Uttarakhand,2015-08-28,,53483,7838.3,4.01,4.01,0.0005,S1(cloud),11913000,893.0,0.0005,
E154,Uttarakhand,Chamoli,Uttarakhand,2017-08-16,,53483,7838.3,4.05,4.05,0.0005,S1(cloud),11913000,902.0,0.0005,
E155,Uttarakhand,Chamoli,Uttarakhand,2019-07-14,,53483,7838.3,455.48,455.48,0.0581,SITS,11913000,101455.0,0.0581,
E156,Uttarakhand,Chamoli,Uttarakhand,2021-06-01,,53483,7838.3,0.77,0.77,0.0001,NDWI,11913000,172.0,0.0001,
E157,Uttarakhand,Chamoli,Uttarakhand,2022-08-01,,53483,7838.3,2.62,2.62,0.0003,NDWI,11913000,584.0,0.0003,
E158,Uttarakhand,Chamoli,Uttarakhand,2023-06-25,,53483,7838.3,0.39,0.39,0.0,NDWI,11913000,87.0,0.0,
E159,Uttarakhand,Chamoli,Uttarakhand,2023-12-18,,53483,7838.3,1443.43,1443.43,0.1842,SITS,11913000,321515.0,0.1842,
E16,Andhra Pradesh,Krishna,Andhra Pradesh,2021-10-11,,162975,8431.7,76.93,76.93,0.0091,NDWI,53586000,25294.0,0.0091,
E160,Uttarakhand,Chamoli,Uttarakhand,2025-06-20,,53483,7838.3,10.57,10.57,0.0013,S1(cloud),11913000,2354.0,0.0013,
E161,Uttarakhand,Chamoli,Uttarakhand,2025-09-15,,53483,7838.3,1855.08,1855.08,0.2367,SITS,11913000,413207.0,0.2367,
E162,West Bengal,Birbhum,West Bengal,2015-06-23,,88752,4566.0,,,,none,100202000,,,NO COMBINED FLOOD: source=none
E163,West Bengal,Birbhum,West Bengal,2017-06-01,,88752,4566.0,28.28,28.28,0.0062,NDWI,100202000,31928.0,0.0062,
E164,West Bengal,Birbhum,West Bengal,2018-08-02,,88752,4566.0,0.02,0.02,0.0,S1(cloud),100202000,23.0,0.0,
