event_id,state,affected_area_km2,area_s1_km2,area_s2_km2,pre_images,post_images,s2_post_images,otsu_threshold_db,status,baseline_status
E59,Himachal Pradesh,196.77,196.77,,11,2,0,-16.0,,OK
E60,Himachal Pradesh,329.77,329.77,,20,6,0,-16.0,,OK
E61,Himachal Pradesh,148.26,148.26,,21,6,0,-16.0,,OK
E62,Himachal Pradesh,277.17,585.18,277.17,6,6,21,-16.0,,OK
E63,Himachal Pradesh,78.93,417.19,78.93,24,3,32,-16.0,,OK
E64,Himachal Pradesh,74.55,255.83,74.55,18,6,42,-16.0,,OK
E65,Himachal Pradesh,220.89,282.96,220.89,18,3,26,-16.0,,OK
E66,Himachal Pradesh,116.8,951.46,116.8,25,7,13,-16.0,,OK
E67,Jammu and Kashmir,139.75,139.75,,26,11,0,-16.0,,OK
E68,Jammu and Kashmir,1121.31,374.78,1121.31,46,10,108,-16.0,,OK
E69,Jharkhand,19.57,1485.78,19.57,24,6,7,-16.0,,OK
E70,Jharkhand,703.65,203.88,703.65,26,4,71,-16.0,,OK
E71,Jharkhand,778.84,1785.53,778.84,23,6,49,-16.0,,OK
E72,Karnataka,555.36,6586.49,555.36,42,12,53,-16.0,,OK
E73,Karnataka,392.43,1270.77,392.43,45,9,69,-15.737,,OK
E74,Karnataka,404.73,645.27,404.73,45,12,59,-16.254,,OK
E75,Karnataka,536.21,750.05,536.21,44,13,93,-16.0,,OK
E76,Karnataka,302.76,2702.38,302.76,44,13,30,-14.738,,OK
E77,Kerala,14.71,1140.11,14.71,18,5,8,-14.741,,OK
E78,Kerala,158.53,37.02,158.53,18,5,21,-16.0,,OK
E79,Kerala,110.35,317.2,110.35,21,7,28,-15.246,,OK
E80,Kerala,177.39,212.71,177.39,21,6,21,-16.0,,OK
E81,Madhya Pradesh,531.79,531.79,,14,5,0,-16.0,,OK
E82,Madhya Pradesh,,,,6,0,0,,,SKIPPED_NO_S1_IMAGERY
E83,Madhya Pradesh,5840.34,5840.34,,58,19,0,-16.0,,OK
E84,Madhya Pradesh,4029.22,4029.22,,72,15,0,-16.0,,OK
E85,Madhya Pradesh,1220.75,2708.58,1220.75,63,19,125,-16.0,,OK
E86,Madhya Pradesh,147.82,6995.32,147.82,63,19,172,-16.0,,OK
E87,Madhya Pradesh,6801.1,6801.1,,80,16,0,-16.0,,OK
E88,Madhya Pradesh,459.82,3293.87,459.82,66,19,106,-14.237,,OK
E89,Maharashtra,,,,5,0,0,,,SKIPPED_NO_S1_IMAGERY
E90,Maharashtra,1149.0,1149.0,,15,6,0,-16.0,,OK
E91,Maharashtra,4251.22,4251.22,,63,14,0,-16.0,,OK
E92,Maharashtra,2569.02,2569.02,,63,15,0,-16.0,,OK
E93,Maharashtra,2408.45,2408.45,,62,16,0,-16.0,,OK
E94,Maharashtra,1577.73,1798.2,1577.73,57,18,31,-16.0,,OK
E95,Maharashtra,1031.14,2601.05,1031.14,55,15,122,-16.0,,OK
E96,Maharashtra,2521.79,1691.06,2521.79,64,16,163,-16.239,,OK
E97,Maharashtra,31.29,4587.96,31.29,59,16,18,-14.231,,OK
E98,Maharashtra,108.99,3405.99,108.99,45,14,61,-16.0,,OK
E99,Manipur,,,,2,0,0,,,SKIPPED_NO_S1_IMAGERY
