event_id,sits_detect_km2,sits_threshold,sits_method,ndwi_flood_km2,s1_flood_km2,s1_clear_km2,s1_cloudy_km2,optical_clear_km2,optical_available,cloud_pct,combined_km2,district_km2,flood_ratio,combined_source
E39,1813.3,0.539,low-conf,12.91,20.95,20.69,0.26,12.91,True,0.6,13.17,4766.8,0.0028,NDWI+S1cloud
E40,3473.41,0.508,low-conf,5.89,8.77,8.71,0.06,5.89,True,0.4,5.95,4766.8,0.0012,NDWI+S1cloud
E41,2666.91,0.523,low-conf,56.79,3.16,1.73,1.42,56.79,True,26.5,58.21,4766.8,0.0122,NDWI+S1cloud
E42,734.82,0.598,ndwi-calib,10.57,15.4,13.25,2.16,7.36,True,16.7,9.52,1504.3,0.0063,SITS+NDWI+S1cloud
E43,,,no-sits,,,,,,False,100.0,,1992.4,,none
E44,,,no-sits,,,,,,False,100.0,,1992.4,,none
E45,,,no-sits,,1.09,0.0,1.09,,False,100.0,1.09,1992.4,0.0005,S1(cloud)
E46,147.05,0.383,otsu,1.25,1.23,0.89,0.35,1.25,True,23.0,1.6,1992.4,0.0008,NDWI+S1cloud
E47,,,no-sits,,,,,,False,100.0,,10480.7,,none
E48,2064.38,0.695,low-conf,19.72,95.86,52.86,43.0,19.72,True,54.8,62.72,10480.7,0.006,NDWI+S1cloud
E49,,,no-sits,,1.26,0.0,1.26,,False,100.0,1.26,10480.7,0.0001,S1(cloud)
E50,2487.91,0.764,ndwi-calib,30.83,133.12,132.84,0.28,16.98,True,0.4,17.26,10480.7,0.0016,SITS+NDWI+S1cloud
E51,1621.2,0.775,ndwi-calib,26.29,129.49,128.65,0.83,26.29,True,0.1,27.12,10480.7,0.0026,SITS+NDWI(restored)+S1cloud
E52,3942.81,0.439,ndwi-calib,123.33,123.49,86.26,37.23,92.74,True,27.4,129.97,10480.7,0.0124,SITS+NDWI+S1cloud
E53,3571.3,0.707,ndwi-calib,4.45,53.43,53.45,0.0,4.45,True,0.0,4.45,10480.7,0.0004,SITS+NDWI(restored)+S1cloud
E54,,,no-sits,0.0,,,,,False,100.0,,10480.7,,none
E55,2482.18,0.608,ndwi-calib,194.59,142.77,113.53,29.24,134.65,True,36.6,163.89,10480.7,0.0156,SITS+NDWI+S1cloud
E56,,,no-sits,,,,,,False,100.0,,4174.8,,none
E57,1579.01,0.568,ndwi-calib,4.16,10.62,9.56,1.06,2.13,True,8.9,3.19,4174.8,0.0008,SITS+NDWI+S1cloud
E58,706.97,0.765,ndwi-calib,13.16,59.96,58.44,1.52,13.16,True,5.5,14.68,4174.8,0.0035,SITS+NDWI(restored)+S1cloud
E59,,,no-sits,,0.71,0.0,0.71,,False,100.0,0.71,5506.0,0.0001,S1(cloud)
E60,,,no-sits,,0.83,0.0,0.83,,False,100.0,0.83,5506.0,0.0002,S1(cloud)
E61,,,no-sits,,10.61,0.0,10.61,,False,100.0,10.61,5506.0,0.0019,S1(cloud)
E62,544.36,0.32,otsu,2.38,0.0,0.0,0.0,2.38,True,30.4,2.38,5506.0,0.0004,NDWI+S1cloud
E63,540.26,0.336,otsu,2.03,44.86,2.06,42.8,2.03,True,34.5,44.83,5506.0,0.0081,NDWI+S1cloud
E64,281.8,0.352,otsu,1.19,13.4,2.23,11.16,1.19,True,28.6,12.35,5506.0,0.0022,NDWI+S1cloud
E65,73.73,0.502,ndwi-calib,3.72,0.01,0.01,0.0,0.89,True,80.6,0.89,5506.0,0.0002,SITS+NDWI+S1cloud
E66,389.53,0.336,low-conf,4.04,0.02,0.02,0.0,4.04,True,54.0,4.04,5506.0,0.0007,NDWI+S1cloud
E67,,,no-sits,,38.5,0.0,38.5,,False,100.0,38.5,45603.1,0.0008,S1(cloud)
E68,3112.96,0.687,ndwi-calib,232.44,288.02,250.87,37.15,232.44,True,7.9,269.59,45603.1,0.0059,SITS+NDWI(restored)+S1cloud
E69,4627.25,0.27,ndwi-calib,4.49,1.13,1.12,0.0,4.01,True,0.1,4.01,6175.1,0.0006,SITS+NDWI+S1cloud
E70,2460.88,0.523,low-conf,24.03,7.09,5.17,1.91,24.03,True,18.7,25.94,6175.1,0.0042,NDWI+S1cloud
E71,148.28,0.653,ndwi-calib,4.4,0.16,0.04,0.13,0.84,True,53.5,0.97,6175.1,0.0002,SITS+NDWI+S1cloud
E72,3304.65,0.648,low-conf,8.3,143.6,90.16,53.44,8.3,True,27.9,61.74,8455.4,0.0073,NDWI+S1cloud
E73,2019.74,0.617,low-conf,9.13,28.5,27.11,1.38,9.13,True,3.4,10.51,8455.4,0.0012,NDWI+S1cloud
E74,2448.18,0.423,ndwi-calib,10.89,38.95,35.97,2.98,6.79,True,11.0,9.77,8455.4,0.0012,SITS+NDWI+S1cloud
E75,3306.29,0.648,low-conf,19.72,15.7,10.11,5.59,19.72,True,19.6,25.31,8455.4,0.003,NDWI+S1cloud
E76,713.11,0.664,otsu,0.61,20.61,5.94,14.67,0.61,True,79.3,15.28,8455.4,0.0018,NDWI+S1cloud
E77,,,no-sits,,19.7,0.0,19.7,,False,100.0,19.7,2961.8,0.0067,S1(cloud)
E78,316.21,0.211,ndwi-calib,5.71,0.34,0.03,0.31,4.74,True,80.0,5.05,2961.8,0.0017,SITS+NDWI+S1cloud
E79,290.82,0.335,ndwi-calib,6.82,22.94,3.01,19.93,2.83,True,41.8,22.76,2961.8,0.0077,SITS+NDWI+S1cloud
E80,680.35,0.252,ndwi-calib,16.21,21.72,6.61,15.11,13.19,True,40.2,28.3,2961.8,0.0096,SITS+NDWI+S1cloud
E81,,,no-sits,,,,,,False,100.0,,10275.8,,none
E82,,,no-sits,,,,,,False,100.0,,10275.8,,none
E83,,,no-sits,,15.09,0.0,15.09,,False,100.0,15.09,10275.8,0.0015,S1(cloud)
E84,,,no-sits,,6.33,0.0,6.33,,False,100.0,6.33,10275.8,0.0006,S1(cloud)
E85,7428.51,0.433,ndwi-calib,28.57,1.66,1.6,0.07,26.83,True,4.5,26.9,10275.8,0.0026,SITS+NDWI+S1cloud
E86,6955.42,0.681,ndwi-calib,7.45,180.42,178.6,1.82,5.7,True,0.1,7.52,10275.8,0.0007,SITS+NDWI+S1cloud
E87,6183.32,0.468,ndwi-calib,15.91,207.01,205.62,1.39,13.34,True,0.1,14.73,10275.8,0.0014,SITS+NDWI+S1cloud
E88,502.58,0.263,ndwi-calib,5.06,40.59,31.94,8.65,3.05,True,23.1,11.7,10275.8,0.0011,SITS+NDWI+S1cloud
E89,,,no-sits,,,,,,False,100.0,,6347.3,,none
E90,,,no-sits,,,,,,False,100.0,,6347.3,,none
E91,,,no-sits,,5.76,0.0,5.76,,False,100.0,5.76,6347.3,0.0009,S1(cloud)
E92,,,no-sits,,6.33,0.0,6.33,,False,100.0,6.33,6347.3,0.001,S1(cloud)
E93,,,no-sits,,,,,,False,100.0,,6347.3,,none
E94,,,no-sits,,4.76,0.0,4.76,,False,100.0,4.76,6347.3,0.0007,S1(cloud)
E95,2639.46,0.46,ndwi-calib,55.84,7.37,7.05,0.32,45.39,True,2.7,45.71,6347.3,0.0072,SITS+NDWI+S1cloud
E96,653.72,0.559,ndwi-calib,5.66,,,,3.52,True,56.1,3.52,6347.3,0.0006,SITS+NDWI(no-S1)
E97,,,no-sits,0.0,19.02,0.0,19.02,,False,100.0,19.02,6347.3,0.003,S1(cloud)
E98,198.25,0.305,otsu,0.23,14.16,1.73,12.43,0.23,True,74.7,12.66,6347.3,0.002,NDWI+S1cloud
E99,,,no-sits,,,,,,False,100.0,,489.0,,none
