bin_start,bin_end,count
-0.9918791869257328,-0.9296416848371578,1
-0.9296416848371578,-0.8674041827485829,0
-0.8674041827485829,-0.805166680660008,0
-0.805166680660008,-0.7429291785714329,0
-0.7429291785714329,-0.6806916764828579,0
-0.6806916764828579,-0.618454174394283,0
-0.618454174394283,-0.556216672305708,0
-0.556216672305708,-0.493979170217133,0
-0.493979170217133,-0.43174166812855796,2
-0.43174166812855796,-0.36950416603998304,1
-0.36950416603998304,-0.3072666639514081,3
-0.3072666639514081,-0.24502916186283308,6
-0.24502916186283308,-0.18279165977425804,11
-0.18279165977425804,-0.12055415768568312,12
-0.12055415768568312,-0.05831665559710819,19
-0.05831665559710819,0.003920846491466845,18
0.003920846491466845,0.06615834858004188,14
0.06615834858004188,0.12839585066861692,20
0.12839585066861692,0.19063335275719173,11
0.19063335275719173,0.25287085484576677,5
0.25287085484576677,0.3151083569343418,2
0.3151083569343418,0.3773458590229166,2
0.3773458590229166,0.43958336111149166,2
0.43958336111149166,0.5018208632000667,2
0.5018208632000667,0.5640583652886417,1
